id,stars
0,2
1,2
2,2
3,2
4,2
5,3
6,2
7,2
8,2
9,1
10,1
11,0
12,3
13,1
14,3
15,2
16,2
17,2
18,2
19,3
20,2
21,2
22,2
23,1
24,1
25,1
26,3
27,1
28,4
29,3
30,2
31,2
32,1
33,2
34,3
35,3
36,2
37,1
38,2
39,4
40,4
41,2
42,0
43,2
44,2
45,3
46,2
47,3
48,3
49,2
50,2
51,2
52,2
53,1
54,3
55,0
56,3
57,1
58,0
59,3
60,2
61,3
62,3
63,1
64,2
65,1
66,3
67,2
68,1
69,3
70,2
71,3
72,2
73,2
74,1
75,1
76,2
77,1
78,0
79,2
80,2
81,2
82,3
83,2
84,2
85,2
86,3
87,4
88,3
89,2
90,4
91,2
92,2
93,0
94,2
95,2
96,2
97,2
98,2
99,3
100,4
101,1
102,3
103,4
104,3
105,3
106,2
107,3
108,2
109,4
110,2
111,3
112,2
113,2
114,1
115,1
116,0
117,0
118,2
119,2
120,3
121,2
122,2
123,1
124,1
125,0
126,4
127,3
128,2
129,4
130,0
131,1
132,3
133,2
134,0
135,0
136,2
137,1
138,2
139,2
140,3
141,2
142,2
143,1
144,2
145,2
146,2
147,1
148,2
149,3
150,2
151,1
152,0
153,2
154,3
155,2
156,0
157,2
158,1
159,2
160,2
161,3
162,4
163,4
164,2
165,4
166,2
167,4
168,3
169,3
170,4
171,2
172,3
173,3
174,2
175,2
176,2
177,4
178,2
179,2
180,2
181,3
182,3
183,4
184,3
185,3
186,3
187,4
188,2
189,3
190,1
191,3
192,3
193,0
194,4
195,2
196,3
197,2
198,3
199,4
200,3
201,3
202,4
203,3
204,2
205,4
206,3
207,2
208,3
209,3
210,3
211,3
212,3
213,4
214,3
215,3
216,3
217,2
218,4
219,3
220,3
221,4
222,3
223,3
224,2
225,3
226,3
227,3
228,4
229,2
230,3
231,2
232,2
233,4
234,3
235,4
236,3
237,2
238,3
239,4
240,3
241,3
242,4
243,4
244,2
245,4
246,3
247,0
248,4
249,4
250,4
251,3
252,4
253,2
254,2
255,3
256,3
257,2
258,3
259,3
260,3
261,1
262,2
263,2
264,1
265,3
266,3
267,2
268,3
269,3
270,3
271,4
272,3
273,3
274,4
275,3
276,4
277,4
278,3
279,3
280,3
281,3
282,3
283,3
284,4
285,3
286,3
287,4
288,3
289,4
290,3
291,2
292,1
293,3
294,4
295,3
296,2
297,0
298,2
299,3
300,3
301,0
302,2
303,3
304,3
305,3
306,3
307,4
308,2
309,3
310,2
311,2
312,2
313,2
314,2
315,2
316,3
317,1
318,3
319,1
320,2
321,3
322,3
323,4
324,3
325,4
326,2
327,4
328,3
329,2
330,2
331,3
332,3
333,2
334,3
335,3
336,3
337,3
338,4
339,3
340,3
341,4
342,3
343,0
344,4
345,1
346,2
347,1
348,1
349,4
350,3
351,3
352,2
353,3
354,2
355,3
356,4
357,3
358,4
359,2
360,4
361,3
362,3
363,4
364,3
365,4
366,4
367,4
368,4
369,3
370,3
371,3
372,4
373,2
374,1
375,3
376,3
377,3
378,2
379,2
380,4
381,3
382,4
383,4
384,3
385,4
386,3
387,3
388,3
389,3
390,4
391,1
392,3
393,1
394,4
395,4
396,2
397,4
398,3
399,3
400,3
401,3
402,3
403,3
404,2
405,4
406,4
407,2
408,4
409,3
410,4
411,3
412,3
413,2
414,2
415,3
416,3
417,4
418,3
419,3
420,4
421,2
422,3
423,3
424,1
425,3
426,4
427,3
428,3
429,4
430,2
431,4
432,3
433,4
434,4
435,3
436,4
437,3
438,3
439,4
440,2
441,3
442,3
443,3
444,4
445,3
446,3
447,3
448,2
449,3
450,1
451,4
452,2
453,2
454,3
455,3
456,4
457,3
458,3
459,2
460,4
461,4
462,4
463,3
464,3
465,2
466,2
467,3
468,2
469,4
470,4
471,3
472,3
473,0
474,3
475,3
476,4
477,4
478,4
479,2
480,3
481,4
482,4
483,4
484,4
485,3
486,4
487,4
488,4
489,2
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,3
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,4
508,4
509,4
510,4
511,3
512,3
513,4
514,4
515,3
516,4
517,4
518,4
519,4
520,4
521,4
522,4
523,4
524,4
525,4
526,1
527,4
528,4
529,1
530,4
531,4
532,2
533,4
534,3
535,3
536,4
537,4
538,4
539,4
540,3
541,4
542,4
543,4
544,4
545,4
546,4
